"","x"
"1",4.9999999e-05
"2",9.9999997e-05
"3",0.00014999999
"4",0.00019999999
"5",0.00024999998
"6",0.00029999999
"7",0.00034999999
"8",0.00039999999
"9",0.00044999999
"10",0.00049999997
"11",0.00055
"12",0.00059999997
"13",0.00065
"14",0.00069999998
"15",0.00075000001
"16",0.00079999998
"17",0.00084999995
"18",0.00089999998
"19",0.00094999996
"20",0.00099999993
"21",0.00105
"22",0.0011
"23",0.00115
"24",0.0011999999
"25",0.00125
"26",0.0013
"27",0.0013499999
"28",0.0014
"29",0.00145
"30",0.0015
"31",0.0015499999
"32",0.0016
"33",0.00165
"34",0.0016999999
"35",0.0017499999
"36",0.0018
"37",0.00185
"38",0.0018999999
"39",0.0019499999
"40",0.0019999999
"41",0.00205
"42",0.0020999999
"43",0.0021499998
"44",0.0022
"45",0.0022499999
"46",0.0023000001
"47",0.00235
"48",0.0023999999
"49",0.00245
"50",0.0024999999
"51",0.0025499999
"52",0.0026
"53",0.0026499999
"54",0.0026999998
"55",0.00275
"56",0.0027999999
"57",0.0028499998
"58",0.0029
"59",0.0029499999
"60",0.003
"61",0.0030499999
"62",0.0030999999
"63",0.00315
"64",0.0031999999
"65",0.0032499998
"66",0.0033
"67",0.0033499999
"68",0.0033999998
"69",0.00345
"70",0.0034999999
"71",0.00355
"72",0.0035999999
"73",0.0036499999
"74",0.0037
"75",0.0037499999
"76",0.0037999998
"77",0.00385
"78",0.0038999999
"79",0.0039499998
"80",0.0039999997
"81",0.0040500001
"82",0.0041
"83",0.0041499999
"84",0.0041999999
"85",0.0042499998
"86",0.0042999997
"87",0.0043500001
"88",0.0044
"89",0.0044499999
"90",0.0044999998
"91",0.0045499997
"92",0.0046000001
"93",0.00465
"94",0.0046999999
"95",0.0047499998
"96",0.0047999998
"97",0.0048499997
"98",0.0049000001
"99",0.00495
"100",0.0049999999
"101",0.0050499998
"102",0.0050999997
"103",0.0051500001
"104",0.0052
"105",0.0052499999
"106",0.0052999998
"107",0.0053499998
"108",0.0053999997
"109",0.0054500001
"110",0.0055
"111",0.0055499999
"112",0.0055999998
"113",0.0056499997
"114",0.0056999996
"115",0.00575
"116",0.0057999999
"117",0.0058499998
"118",0.0058999998
"119",0.0059499997
"120",0.0060000001
"121",0.00605
"122",0.0060999999
"123",0.0061499998
"124",0.0061999997
"125",0.0062499996
"126",0.0063
"127",0.0063499999
"128",0.0063999998
"129",0.0064499998
"130",0.0064999997
"131",0.00655
"132",0.0066
"133",0.0066499999
"134",0.0066999998
"135",0.0067499997
"136",0.0067999996
"137",0.00685
"138",0.0068999999
"139",0.0069499998
"140",0.0069999998
"141",0.0070499997
"142",0.0071
"143",0.00715
"144",0.0071999999
"145",0.0072499998
"146",0.0072999997
"147",0.0073499996
"148",0.0074
"149",0.0074499999
"150",0.0074999998
"151",0.0075499997
"152",0.0075999997
"153",0.0076499996
"154",0.0077
"155",0.0077499999
"156",0.0077999998
"157",0.0078499997
"158",0.0078999996
"159",0.0079499995
"160",0.0079999994
"161",0.0080499994
"162",0.0081000002
"163",0.0081500001
"164",0.0082
"165",0.00825
"166",0.0082999999
"167",0.0083499998
"168",0.0083999997
"169",0.0084499996
"170",0.0084999995
"171",0.0085499994
"172",0.0085999994
"173",0.0086500002
"174",0.0087000001
"175",0.00875
"176",0.0088
"177",0.0088499999
"178",0.0088999998
"179",0.0089499997
"180",0.0089999996
"181",0.0090499995
"182",0.0090999994
"183",0.0091499994
"184",0.0092000002
"185",0.0092500001
"186",0.0093
"187",0.0093499999
"188",0.0093999999
"189",0.0094499998
"190",0.0094999997
"191",0.0095499996
"192",0.0095999995
"193",0.0096499994
"194",0.0096999994
"195",0.0097500002
"196",0.0098000001
"197",0.00985
"198",0.0098999999
"199",0.0099499999
"200",0.0099999998
"201",0.01005
"202",0.0101
"203",0.01015
"204",0.010199999
"205",0.010249999
"206",0.0103
"207",0.01035
"208",0.0104
"209",0.01045
"210",0.0105
"211",0.01055
"212",0.0106
"213",0.01065
"214",0.0107
"215",0.010749999
"216",0.010799999
"217",0.010849999
"218",0.0109
"219",0.01095
"220",0.011
"221",0.01105
"222",0.0111
"223",0.01115
"224",0.0112
"225",0.01125
"226",0.011299999
"227",0.011349999
"228",0.011399999
"229",0.01145
"230",0.0115
"231",0.01155
"232",0.0116
"233",0.01165
"234",0.0117
"235",0.01175
"236",0.0118
"237",0.01185
"238",0.0119
"239",0.01195
"240",0.012
"241",0.01205
"242",0.0121
"243",0.01215
"244",0.0122
"245",0.01225
"246",0.0123
"247",0.01235
"248",0.0124
"249",0.01245
"250",0.0125
"251",0.01255
"252",0.0126
"253",0.01265
"254",0.0127
"255",0.01275
"256",0.0128
"257",0.01285
"258",0.0129
"259",0.01295
"260",0.013
"261",0.01305
"262",0.0131
"263",0.01315
"264",0.0132
"265",0.01325
"266",0.0133
"267",0.01335
"268",0.0134
"269",0.01345
"270",0.013499999
"271",0.01355
"272",0.0136
"273",0.01365
"274",0.0137
"275",0.01375
"276",0.0138
"277",0.01385
"278",0.0139
"279",0.01395
"280",0.014
"281",0.014049999
"282",0.0141
"283",0.01415
"284",0.0142
"285",0.01425
"286",0.0143
"287",0.01435
"288",0.0144
"289",0.01445
"290",0.0145
"291",0.01455
"292",0.014599999
"293",0.01465
"294",0.0147
"295",0.01475
"296",0.0148
"297",0.01485
"298",0.0149
"299",0.01495
"300",0.015
"301",0.01505
"302",0.0151
"303",0.015149999
"304",0.0152
"305",0.01525
"306",0.0153
"307",0.01535
"308",0.0154
"309",0.01545
"310",0.0155
"311",0.015550001
"312",0.0156
"313",0.01565
"314",0.015699999
"315",0.01575
"316",0.015799999
"317",0.01585
"318",0.015900001
"319",0.01595
"320",0.015999999
"321",0.01605
"322",0.016100001
"323",0.01615
"324",0.0162
"325",0.016249999
"326",0.0163
"327",0.016349999
"328",0.0164
"329",0.016449999
"330",0.0165
"331",0.016550001
"332",0.0166
"333",0.016650001
"334",0.0167
"335",0.01675
"336",0.016799999
"337",0.01685
"338",0.016899999
"339",0.01695
"340",0.017000001
"341",0.01705
"342",0.017099999
"343",0.01715
"344",0.017200001
"345",0.01725
"346",0.0173
"347",0.017349999
"348",0.0174
"349",0.017449999
"350",0.0175
"351",0.017549999
"352",0.0176
"353",0.017650001
"354",0.0177
"355",0.017749999
"356",0.0178
"357",0.01785
"358",0.017899999
"359",0.01795
"360",0.017999999
"361",0.01805
"362",0.018100001
"363",0.01815
"364",0.018199999
"365",0.01825
"366",0.018300001
"367",0.01835
"368",0.0184
"369",0.018449999
"370",0.0185
"371",0.018549999
"372",0.0186
"373",0.018649999
"374",0.0187
"375",0.018750001
"376",0.0188
"377",0.018849999
"378",0.0189
"379",0.01895
"380",0.018999999
"381",0.01905
